rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
768,ZEE5,14400000,"18,51,55,87,421",Entertainment,ZEE5,101401,India,IN,Entertainment,142,108,152,149799000,37400,599200,449400,7200000,100000,2018,Feb,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
769,Super Polina,14300000,"4,77,65,07,159",People & Blogs,Super Polina,576,United States,US,Entertainment,1452,158,153,413774,103,1700,1200,19900,100000,2014,Jul,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
770,Rebecca Zamolo,14300000,"6,38,84,39,235",Comedy,RebeccaZamolo,1,United States,US,Entertainment,4054606,6342,5464,nan,0,0,0,0,nan,2011,Aug,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
771,Wish 107.5,14200000,"6,04,85,17,979",Music,Wish 107.5,1823,Philippines,PH,Music,1036,8,134,62658000,15700,250600,188000,3000000,nan,2014,Jul,13,35.5,108116615,2.15,50975903,12.879721,121.774017
772,Invento na Hora,14200000,"4,04,02,97,006",Film & Animation,Invento na Hora,1281,Brazil,BR,Entertainment,1877,43,154,19029000,4800,76100,57100,913400,nan,2014,Oct,18,51.3,212559417,12.08,183241641,-14.235004,-51.92528
773,SIS vs BRO,14200000,"6,97,39,32,553",Entertainment,SiS,60,Ukraine,UA,Entertainment,3739171,2460,4686,105,0.03,0.42,0.32,5,10,2016,Aug,3,82.7,44385155,8.88,30835699,48.379433,31.16558
774,NikkieTutorials,14200000,"1,77,83,18,927",Howto & Style,NikkieTutorials,876,Netherlands,NL,Entertainment,5764,2,154,35934000,9000,143700,107800,1700000,nan,2008,Jun,23,85,17332850,3.2,15924729,52.132633,5.291266
775,TommyInnit,14200000,"2,08,47,91,147",Gaming,TommyInnit,342,United Kingdom,GB,Games,4696,27,55,54291000,13600,217200,162900,2600000,200000,2015,Dec,24,60,66834405,3.85,55908316,55.378051,-3.435973
776,E-MasterSensei,14200000,"3,92,05,59,552",Gaming,E-MasterSensei,1300,Mexico,MX,Games,1971,28,54,44575000,11100,178300,133700,2100000,200000,2016,Jan,13,40.2,126014024,3.42,102626859,23.634501,-102.552784
777,infobells - Kannada,14200000,"6,55,40,00,320",Education,infobells - Kannada,433,India,IN,Education,912,110,37,141688000,35400,566800,425100,6800000,300000,2014,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
778,Crazy Frog,14200000,"7,94,63,22,061",Music,CrazyFrog,0,nan,nan,Games,4057944,nan,7453,nan,0,0,0,0,nan,2005,Oct,2,nan,nan,nan,nan,nan,nan
779,The Dodo,14200000,"9,96,41,16,817",Pets & Animals,Dorukhan Gï¿½ï¿½ï,8,nan,nan,nan,4050736,nan,nan,7208,2,29,22,346,5,2006,Jun,14,nan,nan,nan,nan,nan,nan
780,SEVENGERS,14200000,"10,23,85,93,147",Comedy,SEVENGERS,872,India,IN,Comedy,422,110,33,367898000,92000,1500000,1100000,17700000,400000,2018,Jun,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
781,Zee Bangla,14200000,"11,42,87,94,827",Entertainment,Zee Bangla,132398,India,IN,Entertainment,352,109,153,59927000,15000,239700,179800,2900000,200000,2008,Feb,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
782,DangMattSmith,14200000,"3,31,78,05,543",Entertainment,DangMattSmith,1724,United States,US,Entertainment,2485,159,154,12902000,3200,51600,38700,619300,nan,2011,Aug,18,88.2,328239523,14.7,270663028,37.09024,-95.712891
783,Neha Kakkar,14100000,"2,13,15,48,711",Music,Neha Kakkar,149,India,IN,Music,4624,110,134,25605000,6400,102400,76800,1200000,100000,2012,Oct,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
784,#Refugio Mental,14100000,"3,59,49,36,775",Entertainment,#Refugio Mental,846,nan,nan,Entertainment,2218,nan,155,6942000,1700,27800,20800,333200,nan,2013,Aug,10,nan,nan,nan,nan,nan,nan
785,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,14100000,"3,92,02,21,322",Entertainment,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,65,nan,nan,nan,3999155,nan,nan,20351,5,81,61,977,132,2017,Aug,4,nan,nan,nan,nan,nan,nan
786,Trap City,14100000,"5,12,95,29,846",Music,TrapCity,3,Australia,AU,People,4032620,3671,7629,147,0.04,0.59,0.44,7,1,2015,Nov,4,113.1,25766605,5.27,21844756,-25.274398,133.775136
787,Supercar Blondie,14100000,"5,40,55,63,355",Autos & Vehicles,Supercar Blondie,855,United Arab Emirates,AE,Autos,1202,7,1,353259000,88300,1400000,1100000,17000000,500000,2007,Sep,12,36.8,9770529,2.35,8479744,23.424076,53.847818
788,Yudist Ardhana,14100000,"6,03,64,96,916",Entertainment,Yudist Ardhana,2854,Indonesia,ID,Entertainment,1029,27,154,176062000,44000,704200,528200,8500000,400000,2016,Jan,6,36.3,270203917,4.69,151509724,-0.789275,113.921327
789,Lana Del Rey,14100000,"6,88,42,15,292",Music,Lana Del Rey,43,United States,US,Music,856,160,135,135563000,33900,542300,406700,6500000,200000,2011,May,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
790,MalumaVEVO,14100000,"19,01,39,42,981",Music,MalumaVEVO,182,United States,US,Music,138,160,135,98834000,24700,395300,296500,4700000,nan,2011,Jun,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
791,F2Freestylers - Ultimate Soccer Skills Channel,14100000,"3,28,04,81,927",Sports,F2Freestylers - Ultimate Soccer Skills Channï¿½,777,United Kingdom,GB,Sports,2530,28,10,10222000,2600,40900,30700,490600,nan,2011,Apr,9,60,66834405,3.85,55908316,55.378051,-3.435973
792,Bie The Ska,14100000,"4,62,70,69,704",Entertainment,Bie The Ska,1540,Thailand,TH,Entertainment,1531,14,155,12502000,3100,50000,37500,600100,100000,2006,Oct,3,49.3,69625582,0.75,35294600,15.870032,100.992541
793,AM3NlC,14000000,"4,95,99,82,720",Gaming,AM3NlC,5757,Brazil,BR,People,1392,45,49,10210000,2600,40800,30600,490100,nan,2012,Dec,15,51.3,212559417,12.08,183241641,-14.235004,-51.92528
794,Narins Beauty,14000000,"2,21,41,67,846",Howto & Style,Narins Beauty,431,Sweden,SE,Entertainment,4325,3,156,13709000,3400,54800,41100,658000,nan,2014,Sep,24,67,10285453,6.48,9021165,60.128161,18.643501
795,TV Ana Emilia,14000000,"4,67,41,64,601",People & Blogs,TV Ana Emilia,651,Mexico,MX,Entertainment,1504,29,156,26783000,6700,107100,80300,1300000,100000,2014,Dec,30,40.2,126014024,3.42,102626859,23.634501,-102.552784
796,ýýýýýýýýýýýý,14000000,"7,71,97,43,112",Gaming,ýýýýýýýýýýýý,2210,Russia,RU,Games,703,12,56,150570000,37600,602300,451700,7200000,200000,2013,Oct,26,81.9,144373535,4.59,107683889,61.52401,105.318756
797,Luli Pampï¿½,14000000,"8,62,37,05,301",Music,Luli Pampï¿½,294,Spain,ES,Music,579,15,136,201659000,50400,806600,605000,9700000,100000,2012,Dec,22,88.9,47076781,13.96,37927409,40.463667,-3.74922
798,Gallina Pintadita,14000000,"9,66,09,50,823",Music,Gallina Pintadita,62,Mexico,MX,Film,477,29,40,70626000,17700,282500,211900,3400000,nan,2011,Aug,2,40.2,126014024,3.42,102626859,23.634501,-102.552784
799,ViralHog,14000000,"18,91,76,87,143",People & Blogs,ViralHog,41117,United States,US,Animals,136,159,3,1364000000,340900,5500000,4100000,65500000,1100000,2014,Aug,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
800,ETV Jabardasth,14000000,"13,54,29,39,513",People & Blogs,ETV Jabardasth,9652,India,IN,Comedy,268,111,34,133584000,33400,534300,400800,6400000,100000,2015,Jul,14,28.1,1366417754,5.36,471031528,20.593684,78.96288
801,Zee Telugu,14000000,"12,59,70,67,132",Entertainment,zeetelugu,3,India,IN,Music,4039216,4651,4603,7,0,0.03,0.02,0.34,nan,2007,Jan,31,28.1,1366417754,5.36,471031528,20.593684,78.96288
802,Crescendo com Luluca,14000000,"5,09,40,50,461",Entertainment,Crescendo com Luluca,1307,Brazil,BR,People,1327,44,48,68058000,17000,272200,204200,3300000,100000,2015,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
803,Jazzghost,13900000,"5,67,33,47,763",Gaming,Jazzghost,5494,Brazil,BR,Games,1140,46,57,106718000,26700,426900,320200,5100000,100000,2012,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
804,karameeshchannel,13900000,"9,10,67,81,518",Entertainment,karameeshchannel,2254,Jordan,JO,Music,526,3,137,87639000,21900,350600,262900,4200000,100000,2012,Jan,18,34.4,10101694,14.72,9213048,30.585164,36.238414
805,Darkar Company Studios,13900000,"2,24,43,18,380",Film & Animation,Darkar Company Studios,183,United States,US,Comedy,4234,161,35,4598000,1100,18400,13800,220700,nan,2009,Feb,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
806,Dental Digest,13900000,"7,45,03,45,720",People & Blogs,Dental Digest,324,nan,nan,People,745,nan,50,231562000,57900,926200,694700,11100000,300000,2020,Aug,12,nan,nan,nan,nan,nan,nan
807,T-Series Regional,13900000,"5,21,75,53,897",Entertainment,T-Series Regional,15075,India,IN,Music,1275,111,136,33484000,8400,133900,100500,1600000,100000,2011,Feb,14,28.1,1366417754,5.36,471031528,20.593684,78.96288
808,ADEL et SAMI,13900000,"5,46,55,32,801",Entertainment,ADEL et SAMI,503,United States,US,Entertainment,1200,161,157,26883000,6700,107500,80600,1300000,nan,2018,Mar,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
809,Jamuna TV,13900000,"12,12,95,83,055",News & Politics,jamuna tv24,6,Bangladesh,BD,Entertainment,4056658,3776,6756,1,0,0,0,0.05,nan,2021,Feb,10,20.6,167310838,4.19,60987417,23.684994,90.356331
810,Atlantic Records,13900000,"12,51,38,42,343",Music,Atlantic Records,1660,United States,US,Music,307,161,137,97284000,24300,389100,291900,4700000,100000,2006,Dec,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
811,ýýýýýýýý ýý ýýýýýýýýýýýý,13900000,"8,45,17,54,769",nan,ýýýýýýýý ýý ýýýýýýýýýýýý,504,United States,US,People,600,161,50,114261000,28600,457000,342800,5500000,200000,2018,Oct,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
812,Veritasium,13900000,"2,16,58,85,634",Education,Veritasium,369,United States,US,Education,4466,161,38,44149000,11000,176600,132400,2100000,200000,2010,Jul,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
813,Alexa Rivera,13900000,"3,19,32,26,072",Howto & Style,Alexa Rivera,288,nan,nan,Entertainment,2613,nan,157,142760000,35700,571000,428300,6900000,300000,2010,Aug,21,nan,nan,nan,nan,nan,nan
814,Airrack,13800000,"2,22,49,11,030",Entertainment,Airrack,173,United States,US,Entertainment,4285,161,157,99654000,24900,398600,299000,4800000,300000,2015,Jan,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
815,Hacksmith Industries,13800000,"1,82,05,59,912",Science & Technology,Hacksmith Industries,887,Canada,CA,Tech,5524,10,14,83943000,21000,335800,251800,4000000,100000,2006,Apr,20,68.9,36991981,5.56,30628482,56.130366,-106.346771
816,JD Pantoja,13800000,"1,49,37,76,391",People & Blogs,JD Pantoja,16,nan,nan,Music,7134,nan,138,13533000,3400,54100,40600,649600,100000,2017,Jun,5,nan,nan,nan,nan,nan,nan
817,ýýýýýýýý/Atro,13800000,"2,48,09,57,682",Gaming,ýýýýýýýý/Atro,1952,Netherlands,NL,Games,3690,4,58,55122000,13800,220500,165400,2600000,200000,2017,Jul,2,85,17332850,3.2,15924729,52.132633,5.291266
818,123 GO! Spanish,13800000,"5,01,91,36,690",People & Blogs,123 GO! Spanish,520,Mexico,MX,Howto,1361,30,28,26519000,6600,106100,79600,1300000,100000,2019,Mar,13,40.2,126014024,3.42,102626859,23.634501,-102.552784
819,Geo News,13800000,"5,72,78,88,539",News & Politics,Geo News,190093,Pakistan,PK,News,1127,6,21,100053000,25000,400200,300200,4800000,100000,2007,Jan,10,9,216565318,4.45,79927762,30.375321,69.345116
820,Kids TV India Hindi Nursery Rhymes,13800000,"6,64,69,53,396",Shows,Kids TV India Hindi Nursery Rhymes,1505,India,IN,Education,898,112,38,78651000,19700,314600,236000,3800000,100000,2014,Nov,17,28.1,1366417754,5.36,471031528,20.593684,78.96288
821,Think Music India,13800000,"11,03,93,43,563",Music,Think Music India,4978,India,IN,Music,374,112,137,217106000,54300,868400,651300,10400000,200000,2009,Aug,15,28.1,1366417754,5.36,471031528,20.593684,78.96288
822,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,"1,96,79,30,734",Comedy,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,696,Brazil,BR,Entertainment,5035,47,159,87804000,22000,351200,263400,4200000,200000,2015,Feb,6,51.3,212559417,12.08,183241641,-14.235004,-51.92528
823,Goldmines Premiere,13700000,"1,97,36,38,757",Entertainment,Goldmines Premiere,975,India,IN,Film,5047,113,41,37648000,9400,150600,112900,1800000,100000,2013,Oct,12,28.1,1366417754,5.36,471031528,20.593684,78.96288
824,MAIKI021,13700000,"1,95,01,78,163",Entertainment,MAIKI021,3298,Brazil,BR,Entertainment,5135,47,159,7438000,1900,29800,22300,357000,nan,2008,Jan,22,51.3,212559417,12.08,183241641,-14.235004,-51.92528
825,The Vishal bhatt,13700000,"9,59,64,30,464",Comedy,The Vishal bhatt,1040,India,IN,Comedy,487,113,36,379240000,94800,1500000,1100000,18200000,600000,2021,Aug,15,28.1,1366417754,5.36,471031528,20.593684,78.96288
826,NishaMadhulika,13700000,"2,93,92,01,386",Howto & Style,NishaMadhulika,2158,India,IN,Howto,2972,113,29,22235000,5600,88900,66700,1100000,100000,2009,Aug,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
827,MyMissAnand,13700000,"4,96,32,75,018",People & Blogs,MyMissAnand,340,India,IN,Entertainment,1387,113,159,27882000,7000,111500,83600,1300000,nan,2014,Jul,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
828,FAPTV,13700000,"5,45,72,03,710",Comedy,FAPTV,863,Vietnam,VN,Comedy,1205,3,36,35124000,8800,140500,105400,1700000,nan,2014,Feb,26,28.5,96462106,2.01,35332140,14.058324,108.277199
829,Wesley Safadï¿½,13700000,"8,13,43,79,376",Music,Wesley Safadï¿½,438,Brazil,BR,Music,631,47,139,64059000,16000,256200,192200,3100000,nan,2009,Jun,21,51.3,212559417,12.08,183241641,-14.235004,-51.92528
830,infobells,13700000,"5,17,81,42,148",Education,infobells,495,India,IN,Education,1289,113,39,23893000,6000,95600,71700,1100000,100000,2011,Oct,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
831,Desi Gamers,13700000,"2,13,51,95,239",Gaming,Desi gamers,1,nan,nan,Tech,4057849,nan,4183,5,0,0.02,0.02,0.24,nan,2020,Apr,14,nan,nan,nan,nan,nan,nan
832,Acenix,13600000,"2,12,20,62,016",Gaming,Acenix,368,Spain,ES,Games,4572,16,60,47436000,11900,189700,142300,2300000,200000,2014,Jan,2,88.9,47076781,13.96,37927409,40.463667,-3.74922
833,Zeinab Harake,13600000,"89,68,91,351",nan,Zeinab Harake,273,Philippines,PH,People,13437,9,51,12088000,3000,48400,36300,580200,100000,2017,Oct,19,35.5,108116615,2.15,50975903,12.879721,121.774017
834,DALLMYD,13600000,"1,94,89,25,559",Sports,DALLMYD,412,United States,US,Sports,5133,164,11,30677000,7700,122700,92000,1500000,100000,2011,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
835,Lindsey Stirling,13600000,"3,76,46,08,356",Music,Lindsey Stirling,199,United States,US,Music,2084,163,139,15277000,3800,61100,45800,733300,100000,2007,May,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
836,JOJO TV - Hindi Stories,13600000,"5,14,12,01,173",Education,JOJO TV - Hindi Stories,1097,India,IN,Film,1303,114,42,10764000,2700,43100,32300,516700,100000,2016,Dec,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
837,BBC,13600000,"9,68,50,60,624",Pets & Animals,BBC,16047,United Kingdom,GB,Entertainment,474,29,160,44414000,11100,177700,133200,2100000,100000,2005,Nov,12,60,66834405,3.85,55908316,55.378051,-3.435973
838,Saturday Night Live,13600000,"14,71,72,82,742",Entertainment,Saturday Night Live,8335,United States,US,Comedy,232,164,37,56626000,14200,226500,169900,2700000,nan,2013,Jul,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
839,BUDI01 GAMING,13500000,"1,18,12,92,450",Gaming,BUDI01 GAMING,319,Indonesia,ID,Games,9540,29,61,13436000,3400,53700,40300,644900,nan,2019,Jul,19,36.3,270203917,4.69,151509724,-0.789275,113.921327
840,Typical Gamer,13500000,"4,30,15,81,610",Gaming,Typical Gamer,4312,Canada,CA,Games,1716,11,61,32557000,8100,130200,97700,1600000,nan,2008,Aug,24,68.9,36991981,5.56,30628482,56.130366,-106.346771
841,Anaysa,13500000,"3,44,57,94,123",Howto & Style,Anaysa,591,India,IN,Howto,2364,115,30,29706000,7400,118800,89100,1400000,nan,2012,Mar,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
842,JULIA GISELLA,13500000,"5,38,01,32,790",Entertainment,Julia Gisella,19,United Kingdom,GB,Music,3767960,2492,3189,1615,0.4,6,5,78,130,2015,Mar,24,60,66834405,3.85,55908316,55.378051,-3.435973
843,Awakening Music,13500000,"5,54,59,36,485",Music,Awakening Music,814,United Kingdom,GB,Music,1183,30,140,35309000,8800,141200,105900,1700000,100000,2006,Dec,25,60,66834405,3.85,55908316,55.378051,-3.435973
844,Lady Diana,13500000,"8,26,59,20,659",Entertainment,Lady Diana,1403,Ukraine,UA,People,620,4,52,75162000,18800,300600,225500,3600000,100000,2016,Mar,21,82.7,44385155,8.88,30835699,48.379433,31.16558
845,Sanjoy Das Official,13500000,"3,91,23,34,359",Entertainment,Sanjoy Das Official,1793,India,IN,Games,1954,114,60,179232000,44800,716900,537700,8600000,400000,2015,Apr,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
846,Woody & Kleiny,13500000,"11,71,72,17,293",Comedy,Woody & Kleiny,975,United Kingdom,GB,Entertainment,333,29,160,495561000,123900,2000000,1500000,23800000,400000,2013,Mar,30,60,66834405,3.85,55908316,55.378051,-3.435973
847,Vijay Kumar Viner Vlogs,13500000,"7,95,87,71,872",Entertainment,Vijay Kumar Viner Vlogs,1357,India,IN,Entertainment,663,116,162,109813000,27500,439300,329400,5300000,300000,2019,Mar,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
848,Conor Maynard,13500000,"2,75,09,93,392",Music,Conor Maynard,321,United States,US,Music,3257,165,140,10787000,2700,43100,32400,517800,nan,2006,May,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
849,Wengie,13500000,"1,90,02,72,833",Howto & Style,Wengie,462,United States,US,Howto,5297,165,30,1335000,334,5300,4000,64100,100000,2010,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
850,Vlad y Niki Show,13400000,"4,62,26,28,957",nan,Vlad y Niki Show,477,United States,US,Entertainment,1537,166,162,92228000,23100,368900,276700,4400000,200000,2018,Nov,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
851,Codiscos,13400000,"11,78,96,78,655",Music,Codiscos,7356,Colombia,CO,Music,330,9,140,228902000,57200,915600,686700,11000000,100000,2007,Feb,8,55.3,50339443,9.71,40827302,4.570868,-74.297333
852,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13400000,"2,13,97,69,210",People & Blogs,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1028,India,IN,People,4540,116,53,1043000,261,4200,3100,50100,nan,2016,Sep,9,28.1,1366417754,5.36,471031528,20.593684,78.96288
853,Vibhu 96,13400000,"2,05,63,378",nan,Vibhu 96,256,India,IN,Education,342460,114,40,20264000,5100,81100,60800,972700,300000,2022,Jun,5,28.1,1366417754,5.36,471031528,20.593684,78.96288
854,Blockbuster Movies,13400000,"2,65,00,61,211",Entertainment,Blockbuster Movies,0,India,IN,nan,4057944,5589,nan,nan,0,0,0,0,nan,2017,Jul,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
855,ATHLEAN-Xï¿½,13400000,"2,31,95,15,787",Howto & Style,ATHLEAN-Xï¿½,1349,United States,US,Howto,4039,166,31,14498000,3600,58000,43500,695900,nan,2006,Dec,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
856,My Mate Nate,13400000,"3,36,36,34,923",Comedy,My Mate Nate,1195,Thailand,TH,Entertainment,2436,15,162,41672000,10400,166700,125000,2000000,nan,2014,Dec,8,49.3,69625582,0.75,35294600,15.870032,100.992541
857,H2ODelirious,13400000,"4,35,66,86,216",Gaming,H2ODelirious,3727,United States,US,Games,1683,166,62,16785000,4200,67100,50400,805700,nan,2007,May,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
858,GMA Integrated News,13400000,"9,56,98,14,790",News & Politics,GMA Integrated News,296272,Philippines,PH,News,486,10,22,115459000,28900,461800,346400,5500000,100000,2007,Oct,29,35.5,108116615,2.15,50975903,12.879721,121.774017
859,Peet Montzingo,13400000,"10,02,25,57,589",People & Blogs,Peet Montzingo,319,United States,US,People,433,165,52,397715000,99400,1600000,1200000,19100000,500000,2014,Jun,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
860,The Q,13400000,"4,30,62,12,515",People & Blogs,Tom Duggan,96,United States,US,Sports,3846885,7615,4466,3,0,0.01,0.01,0.14,1,2006,Jan,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
861,Trakin Tech,13300000,"2,26,26,90,743",Science & Technology,Trakin Tech,3640,India,IN,Tech,4152,116,16,43669000,10900,174700,131000,2100000,100000,2011,Nov,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
862,theRadBrad,13300000,"6,05,01,02,764",Gaming,theRadBrad,8195,United States,US,Games,1038,167,63,15694000,3900,62800,47100,753300,nan,2006,Nov,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
863,Matt Steffanina,13300000,"3,29,92,16,601",Entertainment,Matt Steffanina,331,United States,US,Entertainment,14275,692,694,1929000,482,7700,5800,92600,nan,2007,Nov,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
864,Stray Kids,13300000,"3,36,42,30,487",People & Blogs,straykids,3,nan,nan,Comedy,4057875,nan,4896,2,0,0.01,0.01,0.1,1,2007,Mar,17,nan,nan,nan,nan,nan,nan
865,Kurt Hugo Schneider,13300000,"3,73,38,56,870",Entertainment,Kurt Hugo Schneider,698,United States,US,Entertainment,2110,167,163,4233000,1100,16900,12700,203200,nan,2007,Oct,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
866,Vogue,13300000,"4,17,71,84,071",Entertainment,Vogue,3166,United States,US,People,1789,167,54,45095000,11300,180400,135300,2200000,100000,2008,Jun,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
867,ýýýýýýýýýýýýýýýýýý,13300000,"6,48,26,87,220",People & Blogs,ýýýýýýýýýýýýýýýýýý,608,Russia,RU,Entertainment,927,13,163,90241000,22600,361000,270700,4300000,100000,2015,Oct,4,81.9,144373535,4.59,107683889,61.52401,105.318756
868,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13300000,"9,08,85,62,002",People & Blogs,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,2742,United States,US,Education,524,166,41,161889000,40500,647600,485700,7800000,100000,2011,Nov,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
869,VexTrex,13300000,"7,92,39,01,253",Entertainment,VexTrex,2411,Ukraine,UA,Entertainment,669,5,163,379346000,0,0,0,0,nan,2014,Sep,8,82.7,44385155,8.88,30835699,48.379433,31.16558
870,penguinz0,13300000,"7,77,35,43,609",Gaming,penguinz0,4613,United States,US,Entertainment,689,166,162,188948000,47200,755800,566800,9100000,200000,2007,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
871,Just For Laughs Gags,13300000,"7,40,66,28,736",Comedy,Just For Laughs Gags,6916,United States,US,Comedy,764,167,38,17468000,4400,69900,52400,838500,100000,2007,Jan,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
872,Kabita's Kitchen,13300000,"2,83,12,75,503",Howto & Style,Kabita's Kitchen,1489,India,IN,Howto,3123,117,32,43118000,10800,172500,129400,2100000,nan,2014,Oct,7,28.1,1366417754,5.36,471031528,20.593684,78.96288
873,BanderitaX,13300000,"4,12,92,49,415",Gaming,BanderitaX,1640,Saudi Arabia,SA,Games,1818,7,63,70712000,17700,282800,212100,3400000,200000,2013,Aug,20,68,34268528,5.93,28807838,23.885942,45.079162
874,AzzyLand,13300000,"6,41,23,13,570",Gaming,AzzyLand,1749,Canada,CA,Entertainment,949,12,163,5387000,1300,21500,16200,258600,100000,2015,May,8,68.9,36991981,5.56,30628482,56.130366,-106.346771
875,HUBAï¿½ï¿½,13200000,"9,88,48,86,099",Entertainment,HUBAï¿½ï¿½,538,United States,US,Entertainment,454,167,163,319647000,79900,1300000,958900,15300000,500000,2021,Feb,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
876,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13200000,"1,14,84,22,000",Entertainment,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,192,Russia,RU,Entertainment,9855,13,163,8769000,2200,35100,26300,420900,200000,2019,Jan,10,81.9,144373535,4.59,107683889,61.52401,105.318756
877,Brawl Stars,13200000,"2,03,64,08,398",Gaming,Brawl Stars,172,Finland,FI,Games,4846,1,64,20369000,5100,81500,61100,977700,nan,2017,Apr,28,88.2,5520314,6.59,4716888,61.92411,25.748151
878,Ei Nerd,13200000,"3,56,83,92,223",Entertainment,Einerd,0,nan,nan,Games,4057944,nan,7399,nan,0,0,0,0,nan,2007,Nov,19,nan,nan,nan,nan,nan,nan
879,Sonotek Bhakti,13200000,"3,78,97,36,218",Entertainment,Sonotek Bhakti,8019,India,IN,Music,2063,118,142,25321000,6300,101300,76000,1200000,nan,2010,Dec,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
880,Vilmei,13200000,"4,20,56,64,894",nan,Vilmei,1324,Indonesia,ID,People,1786,30,55,264308000,66100,1100000,792900,12700000,800000,2013,Sep,25,36.3,270203917,4.69,151509724,-0.789275,113.921327
881,MC Divertida,13200000,"5,22,47,64,969",Entertainment,MC Divertida,413,Brazil,BR,Entertainment,1269,49,164,64517000,16100,258100,193600,3100000,100000,2018,Jan,17,51.3,212559417,12.08,183241641,-14.235004,-51.92528
882,The Infographics Show,13200000,"5,26,35,40,904",Education,The Infographics Show,4279,United States,US,Education,1252,168,42,51820000,13000,207300,155500,2500000,100000,2011,Feb,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
883,jbalvinVEVO,13200000,"20,74,35,86,601",Music,jbalvinVEVO,237,Colombia,CO,Music,113,10,142,86270000,21600,345100,258800,4100000,nan,2010,Sep,30,55.3,50339443,9.71,40827302,4.570868,-74.297333
884,ýýýýýýTwinsFromRussia,13200000,"9,37,81,75,604",People & Blogs,ýýýýýýTwinsFromRussia,6888,United States,US,People,503,168,55,119389000,29800,477600,358200,5700000,300000,2011,May,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
